id,title,description
1,T-shirts,"Basis- og statement T-shirts i bomuld og blends til hverdag og fest. Fokus på pasform, prints og sæsonfarver."
2,Hættetrøjer & sweatshirts,"Oversized hoodies og crewnecks med blød inderside. Perfekt til streetwear-lag og chill days."
3,Jeans,"Skinny, straight og baggy fits i lys til mørk vask. Slid, patchwork og cargo-detaljer for et moderne look."
4,Bukser & chinos,"Casual og dressy bukser, cargo og wide-leg silhuetter. Komfortable materialer med stræk."
5,Kjoler & nederdele,"Mini til midi, bodycon til skater. Prints, mesh og satin til både hverdags- og going-out outfits."
6,Jakker & frakker,"Bomber, puffer, denim- og læderjakker. Lag til overgangsvejr og varme vinterstyles."
7,Sport & træning,"Performance tights, sports-bh’er, træningsshorts og tops. Svedtransporterende materialer til aktivt brug."
8,Undertøj & sokker,"Komfortable basics, seamless styles og multipacks af sokker i trendfarver."
9,Accessories,"Kasketter, beanies, bælter, smykker og tasker. Små detaljer der fuldender outfittet."
10,Sko,"Sneakers, loafers, støvler og sandaler. Fra klassiske modeller til sæsonens must-haves."
